model,case,n,rmse,mae,max_abs_error,r2,nrmse_range,nrmse_mean_abs
M1_linear_strain_only_separate,Ref,100,0.10301188810382937,0.08031951550180313,0.29229241330958633,0.9681466699931531,0.050775816248715265,0.12042681045324412
M1_linear_strain_only_separate,90DW,100,0.16985450512408284,0.13880358902090092,0.48240910451583097,0.8669486297290925,0.09735379705510898,0.2843025370403473
M1_linear_strain_only_separate,pooled,200,0.14046708155589863,0.10956155226135202,0.48240910451583097,0.9323401162264693,0.06847785088881995,0.19336992134691322
M1_quadratic_strain_only_separate,Ref,100,0.04291107903649501,0.03173396773979005,0.11597609183201019,0.9944726238926312,0.021151394312810115,0.050165514646848416
M1_quadratic_strain_only_separate,90DW,100,0.08017713619048765,0.06749452901741101,0.2053745773716258,0.9703539872800238,0.04595432213850569,0.13420052188155449
M1_quadratic_strain_only_separate,pooled,200,0.06430293100545388,0.049614248378600526,0.2053745773716258,0.9858210631944274,0.03134774690505158,0.08852075926381667
M2_common_coeff_reduced,Ref,100,0.07545903685935067,0.06198805054325913,0.17228958882549117,0.982907615200132,0.03719467976369408,0.08821594571381876
M2_common_coeff_reduced,90DW,100,0.0817645716699423,0.05928079227616347,0.21307514363466185,0.9691684369147174,0.046864176554154015,0.13685757200729076
M2_common_coeff_reduced,pooled,200,0.07867500055325698,0.0606344214097113,0.21307514363466185,0.9787746119902108,0.03835414601690728,0.10830565069366462
M3_structure_dependent_reduced,Ref,100,0.029468221839493946,0.022101375391559052,0.09795116890457911,0.9973933182739378,0.014525246016172187,0.03445004291428927
M3_structure_dependent_reduced,90DW,100,0.022318596021953043,0.016054530305030536,0.06373357415287968,0.997702799227939,0.012792125037183417,0.03735687474161787
M3_structure_dependent_reduced,pooled,200,0.026139011331463614,0.019077952848294798,0.09795116890457911,0.9976570639063734,0.012742795682167254,0.03598350951172687
M4_constrained_common_Ae_separate_AM,Ref,100,0.03199340498100834,0.027417994425261667,0.08538971585753219,0.9969274350428983,0.01576993959036095,0.03740212696148554
M4_constrained_common_Ae_separate_AM,90DW,100,0.023557603909942642,0.017780735139272297,0.06744071583407012,0.997440663197251,0.013502274717281106,0.0394307266286262
M4_constrained_common_Ae_separate_AM,pooled,200,0.028093937640143594,0.02259936478226698,0.08538971585753219,0.9972935042030782,0.013695824326185504,0.03867470194173422
M5_constrained_separate_Ae_common_AM,Ref,100,0.029794754075372274,0.02369925591095158,0.09238483114021034,0.9973352298405144,0.014686197738477565,0.03483177784217796
M5_constrained_separate_Ae_common_AM,90DW,100,0.022450361003875794,0.015992773924017836,0.06464120097255781,0.9976755946373435,0.012867647445610008,0.03757742301984191
M5_constrained_separate_Ae_common_AM,pooled,200,0.026379405599977604,0.01984601491748471,0.09238483114021034,0.9976137708881284,0.012859988142432595,0.036314441287911746
M6_cross_prediction_using_other_structure_coeffs,Ref,100,0.16739233361142092,0.13542209854871806,0.3150882757309401,0.9158892948490985,0.08250972319165939,0.19569124692511503
M6_cross_prediction_using_other_structure_coeffs,90DW,100,0.15894786920052578,0.13994461551107074,0.28618336681727885,0.8834869337808092,0.09110255032202844,0.2660470055701784
