dataset,event_id,e_start,e_end,duration_e,s_onset,s_pre,s_post,Delta_s_drop,W_sigma,Delta_P_parallel,Delta_O_parallel,Delta_chi_parallel
Twin,1,0.00015098,0.00075098,0.0006000000000000001,0.04423280993939395,0.05453006498268391,0.05453006498268391,0.0,1.170114557948218e-05,-0.004860139860139473,-0.004860139860139473,-2.552402733613235e-13
Twin,2,0.00155098,0.00195098,0.00039999999999999996,0.07810723537662326,0.09777997584848472,0.08152255148051936,0.01625742436796536,7.135937053305234e-06,-0.006543123543123586,-0.006543123543123586,-3.7769787297747826e-13
Twin,3,0.00275098,0.00315098,0.00039999999999999975,0.11544726622510806,0.13353404863203444,0.13353404863203444,0.0,5.996904415241864e-06,-0.006142191142191153,-0.006142191142191153,-3.8824499171141724e-13
Twin,4,0.00355098,0.00395098,0.00039999999999999975,0.15662816579653657,0.16958848277489152,0.16958848277489152,0.0,5.639943219643537e-06,-0.006275058275058296,-0.006275058275058296,-4.3243186809149847e-13
Twin,5,0.00435098,0.00475098,0.0004000000000000002,0.19881340893939364,0.2052153670259737,0.2052153670259737,0.0,7.673474325353382e-06,-0.007524475524475535,-0.007524475524475535,-5.562217353372034e-13
Twin,6,0.00515098,0.00555098,0.0003999999999999993,0.2414039887575754,0.24329251695670961,0.24329251695670961,0.0,7.077570328263286e-06,-0.007183216783216817,-0.007183216783216817,-5.739853037312059e-13
Twin,7,0.00775098,0.00815098,0.0004000000000000002,0.3539007256103891,0.4023062841731596,0.4023062841731596,0.0,8.020711517611883e-06,-0.008447552447552464,-0.008447552447552464,-9.49684775264359e-13
Twin,8,0.00855098,0.00895098,0.00040000000000000105,0.40004951014285656,0.4388227971861466,0.4388227971861466,0.0,8.270363589728306e-06,-0.00872261072261074,-0.00872261072261074,-1.113775738303957e-12
Twin,9,0.00935098,0.00975098,0.0003999999999999993,0.4464076402380946,0.4759795388658002,0.4759795388658002,0.0,8.076244943362195e-06,-0.009152913752913772,-0.009152913752913772,-1.341149413747189e-12
Twin,10,0.01015098,0.01055098,0.0003999999999999993,0.4970864208181811,0.5086453155627698,0.5086453155627698,0.0,8.459793013486537e-06,-0.01061305361305366,-0.01061305361305366,-1.850741782050136e-12
Twin,11,0.01095098,0.01195098,0.0009999999999999992,0.5496749035367957,0.6023971523636356,0.5617219261601724,0.0406752262034632,3.0578549566506856e-05,-0.021413986013986072,-0.02125011655011662,-0.004354739258391693
Twin,12,0.01235098,0.01275098,0.00040000000000000105,0.6153631312294363,0.6576097952943714,0.6239529400822502,0.03365685521212114,1.4874115299050172e-05,-0.016065990675990724,-0.01823193473193479,-0.021743309779130415
Twin,13,0.01335098,0.01375098,0.0003999999999999993,0.6676951589523801,0.7050126288441548,0.673554503913419,0.031458124930735853,1.3929992408820908e-05,-0.04999475524475538,-0.019624708624708682,-0.4819698320231376
