dataset,event_id,e_start,e_end,duration_e,s_onset,s_pre,s_post,Delta_s_drop,W_sigma,W_mech_proxy,Delta_PE,Delta_KE,Delta_ETOT,Delta_P_parallel,Delta_O_parallel,Delta_chi_parallel,energy_class
Single,1,0.00015098,0.00135098,0.0012000000000000001,0.023224815272967787,0.08806096831640985,0.08806096831640985,0.0,2.9126978221859254e-06,6.961902216217079e-05,-2.55673125955689,0.0030446588330101665,-2.553686600749406,-0.002795804195804146,-0.008678321678321402,-0.009741266992502773,release
Single,2,0.0027509799999999,0.00375098,0.0010000000000001002,0.17029009367511222,0.23881140232988585,0.23881140232988585,0.0,1.6058752243986483e-06,0.00020379452073354738,-0.6116061986515824,0.034960142468203795,-0.5766460559874624,-0.00039160839160839317,-0.008405594405594408,0.00924989540583232,release
Single,3,0.0047509799999999,0.0055509799999999,0.0007999999999999995,0.306262804278956,0.36794167263765254,0.36794167263765254,0.0,1.4222035617332618e-06,0.00026775571186268317,0.5896171148165701,-0.0047522482927261495,0.5848648665288052,-0.002818181818181824,-0.008284382284382316,-0.013436382423130278,storage
Single,4,0.0063509799999999,0.0071509799999999,0.0007999999999999995,0.43739614566034657,0.5012795724738645,0.5012795724738645,0.0,3.418423175500783e-06,0.0003776768732699789,0.9493851724177329,-0.012383341184011964,0.937001831373351,0.0017766899766899803,-0.008651282051282072,0.03421327822352532,storage
Single,5,0.0087509799999999,0.00975098,0.0010000000000000998,0.6337810980087408,0.7345228443571055,0.7345228443571055,0.0,8.012289288155971e-06,0.0006886237405803456,1.1407191186658574,0.014604506923323476,1.1553236255421049,0.015357109557109606,-0.009728205128205158,0.22480359121100368,storage
Single,6,0.01015098,0.01095098,0.0008000000000000004,0.7764387517644795,0.9035971692903991,0.9035971692903991,0.0,1.6116487123684285e-05,0.0006614699576499985,0.9572880747854852,-0.01989560564814752,0.9373924691065083,0.043231468531468656,-0.0006039627039627071,0.538981967795263,storage
Single,7,0.01115098,0.0119509799999999,0.0007999999999998997,0.9426376007230114,1.0764458072070942,1.0764458072070942,0.0,1.9103620569974294e-05,0.0008247753917360425,1.2674000725065298,-0.0032743589677242946,1.264125713546289,0.023702797202797277,-0.001868764568764572,0.33257109670859086,storage
Single,8,0.0123509799999999,0.01335098,0.0010000000000000998,1.1112522220340506,1.188751702014411,1.188751702014411,0.0,6.020712549130706e-06,0.0011488008514804109,2.2370159612177587,-0.017353996757775783,2.2196619644427606,-0.017549184149184202,-0.0164547785547786,-0.014273199197102127,storage
Single,9,0.01355098,0.0139509799999999,0.0003999999999998987,1.1993715728955001,1.2332709465780767,1.2332709465780767,0.0,1.0899408432318983e-06,0.00048644732724698286,1.6126056452239315,0.017781949036408076,1.6303875941606254,-0.012183216783216815,-0.012172960372960409,-0.00020678246789529453,storage
Single,10,0.0147509799999999,0.01515098,0.00040000000000009993,1.2945875317624078,1.3255749676885227,1.3255749676885227,0.0,1.8764296901523866e-06,0.0005240768314584863,1.6965610715383166,0.029225786993504754,1.7257868584849607,-0.01606969696969702,-0.01598811188811193,-0.0021380679257384516,storage
Single,11,0.01555098,0.01595098,0.0003999999999999993,1.357257893674004,1.388344953593165,1.388344953593165,0.0,2.9947537633658443e-06,0.0005485728633820767,1.8105986400058152,-0.000798984637755254,1.8097996553887796,-0.02196291375291383,-0.019434731934731993,-0.1305257432541973,storage
Single,12,0.01615098,0.01735098,0.0011999999999999997,1.3964657413627006,1.5507840837773565,1.5507840837773565,0.0,1.1371814275114133e-05,0.001757125214889822,3.2113221343457905,-0.021076543876681522,3.190245590450587,-0.032172354312354406,-0.023175990675990743,-0.6542752797601441,storage
Single,13,0.01815098,0.01935098,0.0011999999999999997,1.7007387424916058,1.9386501089325223,1.9386501089325223,0.0,8.192254240200367e-06,0.0021832164051822224,3.805459063998171,-0.009730336956841529,3.7957287267264856,-0.002244991142191154,-0.00228792540792545,-0.13979360446362685,storage
